S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain
75,2/3/2023 18:00,2/20/2023 18:00,2/22/2023 9:30,"[Annual Maintenance Contract for all type of civil work in NML Housing Complex Tuiladungri, CH Area and Pipeline for the year 2022-23 and 2023-24.] [NML/ENG./WSM/eNIT/01(34)/22-23][2023_CSIR_143098_1]",Council of Scientific and Industrial Research||NML-Jamshedpur - CSIR||ESD-NML - CSIR
76,2/3/2023 18:00,2/9/2023 14:00,2/10/2023 14:30,"[Installation of Agro-Shed Net in Prashant Vihar ,Ward No.53 , Rohini zone] [NITNo.DDH/RZ/2022-23/01-01][2023_NDMC_144052_1]",North Delhi Municipal Corporation||Horticulture -North DMC
77,2/3/2023 18:00,2/11/2023 18:00,2/13/2023 15:30,[Repairing Of Boundry Wall Of Telecom Factory Richhai] [EECD/BSNL/JBP/2022-23/34 (3rd Call)][2023_BSNL_144045_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||CE Civil
78,2/3/2023 18:00,2/23/2023 15:00,2/24/2023 15:00,[Supply of Medicines and Allied Consumables] [06(38)/2022-P][2023_CSIR_144040_1],Council of Scientific and Industrial Research||IIIM-Jammu - CSIR||Purchase-IIIM - CSIR
79,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Hiring of machinery for desilting/removal of silt from ssbl drain from nathu colony railway crossing to Hanuman phatak and nathu colony nalla in ward no.37E/222 Ram nagar under jurisdiction of EE(M-III) Shah(N)zone. - Hiring of machinery for desiltin] [EE M-III Shah S/2022-23/16-8][2023_MCD_143945_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
80,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Hiring of Machinery for de-silting/removal of silt from 52 cusic drain in ward no. 51E/235 Gorakhpark-Hiring of Machinery for de-silting/removal of silt from 52 cusic drain from Babarpur drain to drain no. 1 (Flood department) falling in ward no. 51E] [EE M-III Shah S/2022-23/16-6][2023_MCD_143943_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
81,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Hiring of Machinery for de-silting/removal of silt from 52 cusic drain in ward no. 51E/235 Gorakhpark-Hiring of Machinery for de-silting/removal of silt from 52 cusic drain from Babarpur drain to drain no. 1 (Flood department) falling in ward no. 51E] [EE M-III Shah S/2022-23/16-6][2023_MCD_143943_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
82,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Hiring of Machinery for de-silting/removal of silt from 52 cusic drain from loni road to babarpur road falling in ward no. 50E/236 kardampuri under the jurisdiction of EE (M-III) Shah.N. Zone.] [EE M-III Shah S/2022-23/16-5][2023_MCD_143942_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
83,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,"[Desilting /removal of silt from kardam marg nalla from Ambedkar chowk to drain no. 1 in ward no. 234/49E kabir nagar , MIII Sh(N) zone. ] [EE M-III Shah S/2022-23/16-4][2023_MCD_143941_1]",Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
84,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Desilting/ Removal of silt from drains falling in ward no 233 under EEM3SNZ-SH] [EE M-III Shah S/2022-23/16-3][2023_MCD_143940_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
85,2/3/2023 18:00,2/10/2023 15:00,2/10/2023 15:15,[Hiring of Machinery for de-silting/removal of silt from 52 cusic drain from loni road to mandoli road and covered drain from loni road to mother dairy kabool nagar and 1/143 sri ram nagar to pump house and moti ram road nalla falling in ward no. 38E] [EE M-III Shah S/2022-23/16-2][2023_MCD_143939_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
86,2/3/2023 18:00,2/20/2023 18:00,2/22/2023 9:30,"[Annual Maintenance Contract for all type of civil work in NML Housing Complex, Agrico for the year 2022-23 and 2023-24.] [NML/ENG./WSM/eNIT/01(33)/22-23 ][2023_CSIR_143091_1]",Council of Scientific and Industrial Research||NML-Jamshedpur - CSIR||ESD-NML - CSIR
87,2/3/2023 18:00,2/20/2023 18:00,2/22/2023 9:30,"[Annual Maintenance Contract for all type of civil work in NML Housing Complex Tuiladungri, CH Area and Pipeline for the year 2022-23 and 2023-24.] [NML/ENG./WSM/eNIT/01(34)/22-23][2023_CSIR_143098_1]",Council of Scientific and Industrial Research||NML-Jamshedpur - CSIR||ESD-NML - CSIR
88,2/3/2023 17:30,3/17/2023 15:00,3/18/2023 15:00,[Construction of 110 m length of RHS Service/slip road from Km. 248.820 to Km. 248.930 with Toe Wall/Retaining Wall on Service Road edge on Palakkad approach (RHS side) to the LVUP at Km. 249.220 of NH-544 in the state of Kerala on EPC Mode-2nd Call] [11202/RO-Kerala/Tender -Contractor/0201][2023_NHAI_144023_1],National Highways Authority of India||RO-Thiruvananthapuram - NHAI
89,2/3/2023 17:00,2/23/2023 14:00,2/24/2023 14:00,"[SUPPLY, INSTALLATION, TESTING AND COMMISSIONING OF ASPIRATING SMOKE DETECTOR FOR GTI NOIDA] [GAIL/GTI NOIDA/CNP/FNS/22-23/32][2023_GAIL_143997_1]",GAIL (India) Limited||GAIL India Limited GTI-Noida
90,2/3/2023 17:00,2/14/2023 15:00,2/15/2023 15:30,[Desilting for phase 1 of Various Drains / Nalla falls in the jurisdiction of Inderpuri ward 140 KBZ.] [EEM-I/TC/KBZ/2022-23/6-18][2023_MCD_143667_1],Municipal Corporation of Delhi||Engineering - MCD||Civil Engineering - MCD
91,2/3/2023 17:00,2/13/2023 15:30,2/14/2023 15:30,[On call Basis servicing of Phenom Desktop System Sl. No. MVE0248461371] [P/C/180/SP/SKM/STE/22-23][2023_CSIR_143607_1],Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR
92,2/3/2023 17:00,2/15/2023 18:00,2/20/2023 12:30,[Rate Contract for SITC of fan fittings and Provision of electrical installation for external works RMSA school under jurisdiction of BSNL Electrical Division Dharamshala] [14/EE/E/BSNL/ED/DMA/2022-23][2023_BSNL_143900_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Himachal Pradesh Telecom Circle Shimla||CE (Electrical)
93,2/3/2023 15:00,2/16/2023 12:00,2/17/2023 12:00,"[Providing, running and maintenance of commercial vehicle for RO-Bengaluru (Second Call).] [NIT No.39/NHAI/RO-BNG/Hiring of Vehicle][2023_NHAI_143961_1]",National Highways Authority of India||RO-Bangalore - NHAI
94,2/3/2023 12:25,2/11/2023 15:00,2/14/2023 14:30,"[Comprehensive Maintenance, Monitoring and General Maintenance of different Electro Mechanical Services for Khatra TE and Staff Qtrs. under BSNL Electrical Division Kharagpur OA Bankura ( 2nd Call)] [38/BSNL/ED-KGP/2022-23, Dt 12.01.2023 ( 2nd Call)][2023_BSNL_143936_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
95,2/3/2023 12:15,2/13/2023 18:00,2/15/2023 16:00,"[Supply, installation, commissioning and stamping of 2 nos. of In-Motion Weigh Bridge system and CAMC for two years at MUNPL ] [Enq/22-23/110 Date 03.02.2023][2023_MUNPL_143905_1]",Meja Urja Nigam Pvt Ltd||Meja Thermal Power Project - MUNPL||Contracts and Materials - MUNPL
96,2/3/2023 12:00,2/11/2023 15:00,2/14/2023 14:30,"[Comprehensive Maintenance, Monitoring and General Maintenance of different Electro Mechanical Services for Sonamukhi TE under BSNL Electrical Division Kharagpur OA Bankura ( 2nd Call)] [39/BSNL/ED-KGP/2022-23, Dt 12.01.2023(2nd Call)][2023_BSNL_143928_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
97,2/3/2023 11:35,2/11/2023 15:00,2/14/2023 15:00,"[Comprehensive Maintenance, Monitoring and General Maintenance of different Electro Mechanical Services for Katjuridanga TE and Staff Qtrs. under BSNL Electrical Division Kharagpur OA Bankura.] [37/BSNL/ED-KGP/2022-23, Dt 12.01.2023 ( 2nd Call)][2023_BSNL_143874_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
98,2/3/2023 11:00,2/24/2023 18:00,2/27/2023 11:00,"[Annual Maintenance Contract (2023-25) for E and M installations at Jorhat Airport, Jorhat.] [AMC (23-25)for E M installations at Jorhat Airport][2023_AAI_143779_1]",Airports Authority of India||North East Region - AAI||RHQ-NER - AAI||ENGG ELECT-NER - AAI
99,2/3/2023 11:00,2/22/2023 15:00,2/23/2023 15:00,[Making Supplying and installation of LED Super signage board of BSNL with logo at exchange rooftops in Kannur BA] [AGM(MM)/KNR/MKTG/2022-23/4][2023_BSNL_143866_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o GMT, Kannur||AGM (NWP), O/o GMT,Kannur"
100,2/3/2023 11:00,2/22/2023 15:20,2/23/2023 15:20,[Supply and installation of LED Scrolling boards to display relevant BSNL plans and advertisements at major Customer Service Centres under Kannur BA] [AGM(MM)/KNR/MKTG/2022-23/6][2023_BSNL_143909_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o GMT, Kannur||AGM (NWP), O/o GMT,Kannur"
101,2/3/2023 11:00,2/22/2023 15:20,2/23/2023 15:20,[Supply and installation of LED Scrolling boards to display relevant BSNL plans and advertisements at major Customer Service Centres under Kannur BA] [AGM(MM)/KNR/MKTG/2022-23/6][2023_BSNL_143909_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o GMT, Kannur||AGM (NWP), O/o GMT,Kannur"
102,2/3/2023 11:00,2/9/2023 11:00,2/10/2023 11:00,[Clearing of Jungle Earth filling and levelling the proposed stall and parking area inconnection with the One week one Lab programm on 13to18th of march 2023] [NIIST/65/ESD-C/NIT(10)/2022-23][2023_CSIR_143601_1],Council of Scientific and Industrial Research||NIIST-Thiruvanthapuram - CSIR||ESD-NIIST - CSIR
103,2/3/2023 11:00,2/20/2023 10:00,2/21/2023 11:00,"[Renovation of electrical installations in toilets and various Rooms at KTMD, Library buildings and other allied electrical works at CSIR-NAL Kodihalli, Bengaluru-560017] [ESD-NAL/17/E/2022-23][2023_CSIR_143290_1]",Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Admin-NAL - CSIR
104,2/3/2023 9:00,2/23/2023 15:00,2/24/2023 15:30,"[Exe. of EW, minor, major bridges, roads, pathway, RW cum drain, laying of track incl. supply of ballast, all PWay materials excl. Rails and other misc. work in Development of Rail Infra for Ananta OCP, MCL at modified route at Talcher in Odisha] [IRCON/ R 1400028/MCL/Tender/2023/01][2023_IRCON_143790_1]",IRCON International Limited||Corporate Head Quarters-New Delhi - IRCON||Civil Engineering - IRCON
105,2/3/2023 9:00,2/16/2023 15:00,2/17/2023 16:00,"[Tender for Rate Contract for the period of 2 (Two) years for comprehensive AMC of UPS installed at MNGL MS, NRO and DBS CNG Stations at PMC and PCMC.] [MNGL/CP/2022-23/191][2023_MNGL_143890_1]",Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement
106,2/3/2023 9:00,2/13/2023 18:00,2/15/2023 15:30,[Repairing and Maintenance of 7 TR PAC units installed in various TE Building under Electrical Zone Bihar on Call Basis] [126/EE(E)/BED/PTN/NIT/22-23][2023_BSNL_143892_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||CE (Electrical), Patna"
107,2/3/2023 9:00,2/13/2023 18:00,2/15/2023 15:30,[Shifting and Minor repairing of 320 KVADG set from TE Motihari to TE Bhagalpur 2nd call] [109/EE (E)/BED/PTN/22-23 2nd call][2023_BSNL_143891_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||CE (Electrical), Patna"
108,2/2/2023 18:55,2/14/2023 15:00,2/15/2023 15:00,"[Manufacturing, supply, installation, and demonstration of customized high-capacity AEM electrolyzer test station of 3 kW (1 Nos), and 5 kW (1 Nos)] [34-IMP-28-P-22][2023_CSIR_143872_1]",Council of Scientific and Industrial Research||NCL Pune - CSIR||Purchase-NCL - CSIR
109,2/2/2023 18:40,3/8/2023 14:00,3/9/2023 15:00,[Allotment of land on long term lease Annual lease rental basis of 30 years on as is where is basis in Zone Z-4 Plot 9308.0 M2 at PCR Circle for the purpose of construction of covered warehouses ] [IENG/Est/Z-4-near PCR circle/T/2023 Dt. 02-02-23][2023_VPT_143879_1],Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT
110,2/2/2023 18:10,2/16/2023 11:00,2/17/2023 11:30,[Engagement of user fee collection agency on the basis of CB for Hirehalli FP at Km. 341.300 of Four laning of Byrapura-challkere section of NH-150-A from Km 308.550 to Km 358.500 on HAM mode under Bharatmala pariyojna in Karnataka] [NHAI/13013/547/CO /22-23/CB/ Hirehalli FP][2023_NHAI_143876_1],National Highways Authority of India||Head Office - NHAI||Commercial Operation - NHAI
111,2/2/2023 18:00,2/11/2023 15:00,2/13/2023 14:30,"[Comprehensive Maintenance, Monitoring and General Maintenance of different Electro Mechanical Services for Staff Qtrs. Roof-top Shelter BTS and BSNL Admn. Bldg.,Kenduadihi under BSNL Electrical Division Kharagpur OA Bankura ( 3rd Call)] [40/BSNL/ED-KGP/2022-23, Dt 12.01.2023(3rd Call)][2023_BSNL_143870_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
112,2/2/2023 18:00,2/8/2023 12:00,2/9/2023 12:10,[Installation of Green Agro Shade Net] [DDH/CLZ/2022-23/01-02][2023_MCD_143860_1],Municipal Corporation of Delhi||Horticulture Department - MCD
113,2/2/2023 18:00,2/8/2023 12:00,2/9/2023 12:10,[Installation of Green Agro Shade Net] [DDH/CLZ/2022-23/01-01][2023_MCD_143846_3],Municipal Corporation of Delhi||Horticulture Department - MCD
114,2/2/2023 18:00,2/10/2023 18:00,2/13/2023 15:30,[RC for Call basis Maintanance Repairing of D E A SETS IN SSA CHURU] [25/22-23/EE(E)/BSNL/ED/BKN][2023_BSNL_143788_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||CE (Electrical)||EE(E) UDAIPUR
115,2/2/2023 18:00,2/11/2023 12:00,2/14/2023 12:00,"[Provision of Fans and Fittings ,MV Distribution System ,Rewiring of Electrical Installation and Compound Lighting in IQ Khajuraho under OA Chhatarpur (MP)] [NIT(26)/EE(E)/BSNL-BPL/2022-23][2023_BSNL_143865_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal"
116,2/2/2023 18:00,2/8/2023 13:00,2/9/2023 13:00,[Improvement Development of M and CW Center Sarai Mohalla ] [EE(M)-2/SHAH.SOUTH /22-23/17/07][2023_EDMC_143657_1],East Delhi Municipal Corporation (EDMC)||Engineering Maintenance-2 SZ
117,2/2/2023 17:00,2/9/2023 15:00,2/10/2023 16:00,"[Tender for Design, Printing, Installation and Pasting of Hoardings for D-PNG Advertisement in various locations in Nashik City.] [MNGL/CP/2022-23/189][2023_MNGL_143837_1]",Maharashtra Natural Gas Ltd.||Corporate Office Pune||Contracts and Procurement
118,2/2/2023 17:00,2/9/2023 12:00,2/10/2023 12:10,"[Desilting of Drains/Nallahs by hiring JCB, trippers, Poclain etc. at Ward No 73 and 74, under the jurisdiction of M-II/CSPZ.] [EE(M)-II/CITY-SPZ/22-23/22.01][2023_NDMC_142898_1]",North Delhi Municipal Corporation||Enigeering Electric -North DMC
119,2/2/2023 15:00,2/8/2023 17:00,2/10/2023 15:30,[Strengthening of Security s wall with Polycarbonate sheet and other allied work in CSIO Chandigarh] [CSIO/1498/22-23/ESD][2023_CSIR_143770_1],Council of Scientific and Industrial Research||CSIO-Chandigarh - CSIR||ESD-CSIO - CSIR
120,2/2/2023 14:00,2/11/2023 14:00,2/11/2023 17:00,"[Selection of Backend Partner for Supply and Installation of Computer Systems, Thin Clients, VC System, UPS and Networking and Electrification etc. in 301 BRCs with 5 years On Site Comprehensive Warranty] [TCIL/22-23/ITandT1/RCSE-BRC][2023_TCIL_143783_1]",Telecommunications Consultants India Limited||Corporate Office - TCIL Bhawan||MM Division - TCIL
121,2/2/2023 13:00,2/11/2023 18:00,2/13/2023 9:00,"[Operation of 2X1010 KVA, 160 KVA DG sets at New CDRI Complex and 1X320 KVA DG set at Old CDRI Campus, manually /auto synchronizing panel, shifting of load during utility power outage in Institute areas of CDRI for the year 2023-24] [2/20/2022-Engg.][2023_CSIR_143786_1]",Council of Scientific and Industrial Research||CDRI-Lucknow - CSIR||ESD-CDRI - CSIR
122,2/2/2023 12:00,2/9/2023 14:00,2/10/2023 14:30,"[Installation of Green Agro-shed Net in AD Block Nursery, Ward No. 56/K.P.Zone.] [NITNo.DDH/KPZ/2022-23/01-01][2023_NDMC_143762_1]",North Delhi Municipal Corporation||Horticulture -North DMC
123,2/2/2023 9:00,3/21/2023 11:00,3/22/2023 11:30,[DEVELOPING OPERATING AND MAINTAINENCE OF LARGE and SMALL WAYSIDE AMENITIES ON DIFFERENT SECTIONS OF NATIONAL HIGHWAY ON LEASE BASIS] [NHAI/WSA/ DBOT/West/1/2023][2023_NHAI_143756_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI
124,2/1/2023 18:50,3/7/2023 14:00,3/8/2023 15:00,"[Allotment of land on long term lease annual lease rental basis of 30 years, on as is where is basis in Zone Z-9 Plot 7689.03 M2 at North side of harbour park area under non port related activities] [IENG/Est/Z-9-Plot at N HP/ T/2023 Dt. 01-02-2023][2023_VPT_143733_1]",Visakhapatnam Port Trust||Civil Engineering - VPT||SE CP Division - VPT
125,2/1/2023 18:00,2/21/2023 15:00,2/22/2023 15:00,"[Percentage rate for Annual maintenance contract of Landscape gardens (Zone-II) and attending daily complaints of cutting and disposal of fallen trees, and public health works IITM campus for the year 2023-24. ] [32/ 2022-23 / Horticulture][2023_IITM_143685_1]",Indian Institute of Technology Madras||Engineering Unit - IITM
126,2/1/2023 18:00,2/11/2023 12:00,2/14/2023 12:00,"[Providing Foundation, Earthing and Miscellaneous Electrical work associated with DG set installation ] [NIT(25)/EE(E)/BSNL-BPL/2022-23][2023_BSNL_143726_1]","Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal"
127,2/1/2023 18:00,2/9/2023 15:00,2/11/2023 16:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Rupnarayanpur OA-Asansol of Asansol BA.(2nd call)] [32/BSNL ED-ASL/2022-23(2nd call) dated 01.02.2023][2023_BSNL_143741_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
128,2/1/2023 18:00,2/15/2023 18:00,2/17/2023 9:30,"[Supply, Installation, Testing and Commissioning of water cooler cum purifier for the year 2022-23-24, Jamshedpur.] [NML/ENG./WSM/eNIT/01 (31)/2022-2023][2023_CSIR_142631_1]",Council of Scientific and Industrial Research||NML-Jamshedpur - CSIR||ESD-NML - CSIR
129,2/1/2023 18:00,3/2/2023 11:00,3/3/2023 11:00,"[Construction of Concrete road from Silo to main ash pond approach road (Parallel to Railway Track) along with both side RCC drain at DSTPS, DVC, Andal] [DSTPS/PH-Civil-2/CnM/WnS/53 Dated 31/01/2023][2023_DVC_143260_1]",Damodar Valley Corporation||DSTPS Andal - DVC||C and M
130,2/1/2023 18:00,2/9/2023 13:00,2/10/2023 15:00,[Call Basis Maintenance Contract of Agilent GCMS240 System] [PUR-170/AMC/SEAF/2022-23][2023_CSIR_143647_1],Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||Purchase-NEERI - CSIR
131,2/1/2023 17:15,2/9/2023 15:00,2/11/2023 16:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Ukhra, OA-Asansol of Asansol BA.(2nd call)] [31/BSNL ED-ASL/2022-23(2nd call) dated 01.02.2023][2023_BSNL_143725_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
132,2/1/2023 17:00,2/9/2023 15:00,2/11/2023 16:00,"[Comprehensive maintenance and operation, monitoring and general maintenance of different electro-mechanical services at PandT quarter complex Budha, OA-Asansol of Asansol BA.(2nd call)] [30/BSNL ED-ASL/2022-23 (2nd call) dated 01.02.2023][2023_BSNL_143711_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical)
133,2/1/2023 17:00,2/22/2023 14:00,2/23/2023 14:30,[Extension of MRSS existing facility by installation of one 12.5 MVA transformer and associated] [10-20558][2023_IREL_143704_1],IREL (INDIA) Limited||Corporate Office Mumbai - IREL
134,2/1/2023 17:00,2/24/2023 18:00,2/28/2023 11:00,[Providing and fixing of tactile flooring at Silchar Airport for guidance of Visually Impaired Divyang] [AAI/Sil/Engg (C)/Tactile Flooring][2023_AAI_143191_1],Airports Authority of India||North East Region - AAI||SILCHAR - AAI||ENGG CIVIL-VEKU - AAI
135,2/1/2023 15:05,2/8/2023 15:00,2/9/2023 15:30,"[Replacement of asbestos roof sheet with GI profile sheet, replacement of damaged false ceiling, water proofing of C-shape slab area and replacement of front entrance door with allied work of EMD lab opposite to old APC process lab at CSIR-NEERI, Nagp] [50(56)/2022-23/W][2023_CSIR_143672_1]",Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR
136,2/1/2023 15:00,2/15/2023 16:00,2/20/2023 16:00,"[OCM of Electro-mechanical Services in Main TE Gonda, Staff Qtrs ITI Chauraha and BTS/ DLC/ Store/TDM Residence at Gonda and comprehensive maintenance of all EMS at TE Balrampur, Colonelganj, Mankapur, Tulsipur and Utraula] [08/TED/GKP/2022-2023 ][2023_BSNL_143622_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Gorakhpur
137,2/1/2023 14:00,2/20/2023 15:00,2/21/2023 15:00,"[Supply, design, installation, testing and commissioning of balance Electronic Interlocking based signaling system at Tilaiya, Warisaliganj and Nawada station of East central Railway] [IRCON/SNT/2067/E9022][2023_IRCON_143353_1]",IRCON International Limited||Bihar - IRCON||Kiul - Gaya Project - IRCON
138,2/1/2023 13:20,2/13/2023 13:00,2/13/2023 13:15,[CONST. OF BOUNDARY WALL] [EE(M-I)/KPZ/TC/2022-23/08-28][2023_NDMC_143624_1],North Delhi Municipal Corporation||Enigeering Electric -North DMC
139,2/1/2023 13:00,2/21/2023 15:00,2/22/2023 15:00,"[All Inclusive Comprehensive Maintenance Contract of 3x600TR Carrier-make and 3x300TR York-make Chiller plants at SGRDJI Airport, Amritsar for 02 years (2023-25).] [AAI/ASR/ENGG-E/eNIT-15/22-23][2023_AAI_143487_1]",Airports Authority of India||Northern Region - AAI||AMRITSAR - AAI||ENGG ELECT-AMRITSAR - AAI
140,2/1/2023 11:00,2/8/2023 15:05,2/9/2023 15:00,"[Repair of Fire fighting systems installed at MCP School in ward 32S,37Sand 54S under Najafgarh Zone. ] [EE/Elect/Najafgarh Zone/2022-23/18][2023_SDMC_143561_1]",South Delhi Municipal Corporation||Enigeering Electric - SDMC
141,2/1/2023 10:00,2/21/2023 18:00,2/23/2023 11:00,"[Operation and Maintenance Contract of Electrical and Mechanical Installations at NDB, Songadh. (For 2 year Period) (Yr 2023-24 and 2024-25).] [AAI/BO/EE/NIT11/AMCSON/2022-23][2023_AAI_143014_1]",Airports Authority of India||Western Region - AAI||VADODARA - AAI||ENGG ELECT-VABO - AAI
142,1/31/2023 18:50,3/9/2023 10:00,3/10/2023 10:00,[Construction of Cement Concrete Peripheral Road along Boundary Wall in Factory Area at NFL Panipat] [NFL/PT/CIVIL/790][2023_NFL_143514_1],National Fertilizers Limited||NFL Unit-Panipat||Civil Deptt
143,1/31/2023 18:30,2/16/2023 14:00,2/17/2023 14:00,[Poly Amine based All Volatile Treatment of Boiler Feed Water ] [AVT2023_25][2023_NFL_143513_1],National Fertilizers Limited||NFL Unit- Vijaipur||Materials Deptt
144,1/31/2023 18:00,2/8/2023 18:00,2/10/2023 16:00,[ARMO Ballygunje TE] [95/CD-I/BSNL/Kol/22-23][2023_BSNL_143510_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD"
145,1/31/2023 18:00,2/21/2023 13:00,2/22/2023 13:00,[4G saturation OFC Tender 57 Chintapalli 24 Routes] [E-324096 VSK BA-19/14(11)/32/2023-CM PLG AND BTS V][2023_BSNL_143517_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Andhra Pradesh Telecom Circle- Vijayawada||GMTD Visakhapatnam
146,1/31/2023 18:00,2/8/2023 12:00,2/9/2023 12:15,[IMP. DEV. OF BOUNDARY WALL] [EE(M-II)KPZ/TC/2022-23/26/01][2023_NDMC_143401_1],North Delhi Municipal Corporation||Enigeering Electric -North DMC
147,1/31/2023 18:00,2/10/2023 11:30,2/13/2023 12:00,[Supply and Installation of the Items as per DCN Tender ] [MM/NFS/Routers-DCN/T-752/2023][2023_BSNL_143229_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||BSNL Corporate Office- New Delhi||MM Cell BSNL Corporate Office
148,1/31/2023 18:00,2/23/2023 15:30,2/24/2023 15:30,"[SUPPLY, INSTALLATION, COMMISSIONING, DEMONSTRATION AND TRAINING OF MIXED SIGNAL OSCILLOSCOPE WITH BUILT IN FUNCTION/WAVEFORM GENERATOR] [P/NC/156/DK/SO(SB)/OTE/22-23][2023_CSIR_143468_1]",Council of Scientific and Industrial Research||CGCRI-Kolkatta - CSIR||Purchase-CGCRI - CSIR
149,1/31/2023 18:00,2/13/2023 10:00,2/14/2023 11:00,[Supply and installation of ABB make Signal Input / Output (S800 Type) slots for ABB distributed control system] [NAL/PUR/CCFP/342/22-Y][2023_CSIR_143477_1],Council of Scientific and Industrial Research||NAL Bengaluru - CSIR||Purchase-NAL - CSIR
150,1/31/2023 18:00,3/2/2023 15:00,3/3/2023 15:00,[ Design supply installation testing and commissioning of AFC system by Re Engineering the existing Lucknow Metro closed loop system for implementation of Open Loop EMV NCMC card and QR Code ticketing] [LKS-04][2023_UPMRC_143485_1],Uttar Pradesh Metro Rail Corporation Limited||Contract Cell - UPMRCL
151,1/31/2023 18:00,2/8/2023 12:00,2/9/2023 12:15,[IMP. DEV. OF BOUNDARY WALL] [EE(M-II)KPZ/TC/2022-23/26/02][2023_NDMC_143407_1],North Delhi Municipal Corporation||Enigeering Electric -North DMC
152,1/31/2023 17:30,2/14/2023 15:00,2/15/2023 15:30,"[Supply, Installation, Testing and Commissioning of 200 kVA DG set for CTMD Division at CSIR-NEERI, Nagpur. ] [50(44)/2020-21/W][2022_CSIR_139799_3]",Council of Scientific and Industrial Research||NEERI-Nagpur - CSIR||ESD-NEERI - CSIR
153,1/31/2023 17:20,3/1/2023 11:00,3/2/2023 11:30,[Installation of new highway lights on Jind bypass on old NH-71 from km 238.695 to km 307.000 (New NH-352) i.e. Jind to Punjab/Haryana Border in the State of Haryana.] [PD-HSR/HSR-DBL/NH-10/PKG-I/RFP][2023_NHAI_143497_1],National Highways Authority of India||RO-Chandigarh - NHAI
